;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;Numero_inspection;Date_inspection;APP_Libelle_activite_etablissement;Synthese_eval_sanit;Agrement;geores;filtre;ods_type_activite
1121;ALI Choukourani;P00007153001;;97650;Bandraboua;21-012513-1;2021-05-25 02:00:00+02:00;Restaurant;Satisfaisant;;-12.709664,45.12195;Restaurant;Autres
1894;AU MUSTANG BURGER;F00000103001;58 bis rue André MERCIER;62156;Vis-en-Artois;21-056069-1;2021-07-07 02:00:00+02:00;Restaurant;A améliorer;;50.247506,2.941515;Restaurant;Autres
2022;ABOUDOU ABDALLAH;P00007341001;RUE DU COLLEGE M'TSANGADOUA;97630;Acoua;21-012515-1;2021-05-27 02:00:00+02:00;Restaurant;Satisfaisant;;-12.714463,45.051617;Restaurant;Autres
3009;ACCA NOUSSE .;A85074006001;LEFORT David président;40380;Nousse;21-103659-1;2021-12-17 01:00:00+01:00;Collecte de gibier sauvage;Satisfaisant;;;;Abattoirs
3090;Garderie marie jean;P00007268001;Bp 700;98600;Uvea;21-053881-1;2021-07-07 02:00:00+02:00;Restauration collective;Très satisfaisant;;-13.247039,-176.196628;Restauration collective;Autres
3204;LE STILL;F00000106001;;97232;Le Lamentin;21-058072-1;2021-07-16 02:00:00+02:00;Restaurant;Très satisfaisant;;14.636794,-60.991345;Restaurant;Autres
3524;CHARCUTERIE DU MOULIN;F00000077001;rue de la tuilerie;72400;Cherré-Au;21-068841-1;2021-08-31 02:00:00+02:00;Transformation de produits carnés;Très satisfaisant;;48.168524,0.673721;;Viandes et produits carnés
4088;PIZZARIA LEILEI;P00007824001;PRFJ+CG;98600;Uvea;21-043400-1;2021-06-04 02:00:00+02:00;Restaurant;Satisfaisant;;;Restaurant;Autres
5041;MS TCHAK;P00008266001;5 RUE DJONDERA;97600;Koungou;21-012527-1;2021-06-10 02:00:00+02:00;Restaurant;Satisfaisant;;-12.737001,45.1977;Restaurant;Autres
5180;la sem;P00008264001;;98600;Uvea;21-077540-1;2021-09-28 02:00:00+02:00;Rayon fromagerie|Rayon boucherie-charcuterie;Satisfaisant;;-13.281628,-176.186262;Rayon fromagerie|Rayon boucherie-charcuterie;Autres
5286;la sem;P00008264001;;98600;Uvea;21-045172-1;2021-06-09 02:00:00+02:00;Rayon traiteur;Satisfaisant;;-13.281747,-176.186296;Rayon traiteur;Autres
5631;SUPERETTE ALTOFENUA;P00008265001;BP 229;98600;Uvea;21-045173-1;2021-06-10 02:00:00+02:00;Libre service|Alimentation générale;Très satisfaisant;;-13.326158,-176.192836;Libre service|Alimentation générale;Autres
